# f311864b-6bce-45ab-b947-2c0f060398eb
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 6.6967977; 8.3267961; 2.3638735; -0.1727856; 2.7396177; 3.3479338
0.1986236; 6.5692875; 8.1748328; 2.5765849; 1.0165559; 2.9724505; -0.0283904
0.3972472; 6.4698411; 8.0036316; 2.6216499; -0.0222479; 2.9705529; -2.8602452
0.5958708; 6.3939218; 7.8220277; 2.8804692; 0.9309239; 2.7727171; -2.5589292
0.7944944; 6.3583073; 7.6281495; 3.0451844; 1.1175941; 2.5829116; -0.0236965
0.9931180; 6.3604544; 7.4293957; -3.0707973; 0.0068147; 2.5810887; -0.0148486
1.1917416; 6.3785108; 7.2300751; -2.9701962; 1.5023766; 2.5799458; -0.0148486
1.3903652; 6.4386097; 7.0416290; -2.7592129; 0.0257261; 2.5788024; 5.2851646
1.5889888; 6.5087470; 6.8559867; -2.7937488; 0.0162136; 2.9579957; 5.2804810
1.7876124; 6.5783683; 6.6695990; -2.7747736; 0.0548182; 3.2935384; 5.2758015
1.9862359; 6.6501690; 6.4838449; -2.7723544; 0.0025843; 3.5976648; 5.2711261
2.1848595; 6.7221473; 6.2981176; -2.7714436; -0.0016415; 3.8777741; 5.2664549
2.3834831; 6.7938870; 6.1126526; -2.7744608; -0.0272772; 4.1387458; 5.2617879
2.5821067; 6.8644604; 5.9273149; -2.7817008; -0.0465141; 4.3839990; 3.7763300
2.7807303; 6.9335209; 5.7408039; -2.7929547; -0.0681682; 4.5518769; -8.5528871
2.9793539; 7.0001267; 5.5532767; -2.8082181; -0.0857728; 4.1619675; -8.5498806
3.1779775; 7.0633919; 5.3651282; -2.8266459; -0.0998589; 3.7316963; -8.6156446
3.3766011; 7.1231212; 5.1758430; -2.8441354; -0.0730800; 3.2408358; -9.2414747
3.5752247; 7.1800538; 4.9844796; -2.8588269; 0.0383956; 2.6137840; -5.4891973
3.7738483; 7.2367730; 4.7952692; -2.8764484; -0.9720251; 2.1566869; -0.0103670
3.9724719; 7.2667488; 4.5996096; -3.1225864; -2.1518425; 2.1557320; -0.0103670
4.1710955; 7.2285337; 4.4061925; 2.8962169; 0.9751742; 2.1547766; 5.2896422
4.3697191; 7.1689574; 4.2184414; 2.7231425; -0.3587326; 2.5969901; 5.2849546
4.5683427; 7.0909129; 4.0344154; 2.7520076; -0.1231958; 2.9738512; 5.2802711
4.7669663; 7.0142102; 3.8521936; 2.7381974; -0.0329444; 3.3077732; 5.2755918
4.9655899; 6.9355243; 3.6701443; 2.7280992; -0.0578803; 3.6106894; 5.2709167
5.1642135; 6.8546876; 3.4885771; 2.7176795; -0.0478898; 3.8898502; 5.2662457
5.3628371; 6.7720302; 3.3076102; 2.7088092; -0.0408305; 4.1500525; 5.2615788
5.5614607; 6.6878511; 3.1271919; 2.7015387; -0.0325352; 4.3946653; 5.2569161
5.7600842; 6.6025605; 2.9474426; 2.6958048; -0.0254434; 4.6261624; 5.2522575
5.9587078; 6.5167001; 2.7688329; 2.6913773; -0.0194466; 4.8464237; 5.2476030
6.1573314; 6.4300045; 2.5902618; 2.6880115; -0.0146340; 5.0569179; 5.2429527
6.3559550; 6.3426789; 2.4117218; 2.6855076; -0.0107396; 5.2588180; 5.2383064
6.5545786; 6.2549092; 2.2332445; 2.6837010; -0.0075787; 5.4530789; 5.2336643
6.7532022; 6.1668597; 2.0548821; 2.6824508; -0.0050297; 5.6404900; 5.2290263
6.9518258; 6.0788350; 1.8770251; 2.6816521; -0.0030401; 5.8217131; 5.2243925
7.1504494; 5.9906051; 1.6990285; 2.6812013; -0.0016569; 5.9973093; 0.0812619
7.3490730; 5.9022845; 1.5209960; 2.6809942; -0.0003009; 6.0000000; 0.0000000
7.5476966; 5.8139823; 1.3430260; 2.6810944; 0.0009069; 6.0000000; 0.0000000
7.7463202; 5.7257040; 1.1650667; 2.6810290; -0.0015710; 6.0000000; 0.0000000
7.9449438; 5.6373635; 0.9870167; 2.6813432; 0.0068528; 6.0000000; 0.0000000
8.1435674; 5.5492452; 0.8089085; 2.6824254; -0.0093380; 6.0000000; 0.0000000
8.3421910; 5.4608320; 0.6311025; 2.6773167; -0.0068207; 6.0000000; 0.0000000
8.5408146; 5.3727986; 0.4532470; 2.6920580; 0.1572060; 6.0000000; 0.0000000
8.7394382; 5.2889520; 0.2728259; 2.7189393; 0.1023675; 6.0000000; -5.0161571
8.9380618; 5.2090054; 0.0907128; 2.7370747; 0.0994305; 5.8315817; -6.4985802
9.1366854; 5.1327469; -0.0927910; 2.7588833; 0.1136494; 5.6058722; -6.4899524
9.3353090; 5.0607020; -0.2777798; 2.7816310; 0.1171487; 5.3710043; -6.6835306
9.5339325; 4.9930682; -0.4642143; 2.8058910; 0.1277164; 5.1178779; -6.7094108
9.7325561; 4.9301797; -0.6522838; 2.8322602; 0.1388640; 4.8505030; -6.7827517
9.9311797; 4.8723296; -0.8426294; 2.8613354; 0.1543372; 4.5643127; -6.8291117
10.1298033; 4.8204037; -1.0345147; 2.8939821; 0.1753382; 4.2567716; -6.8626265
10.3284269; 4.7752702; -1.2278830; 2.9315895; 0.2054222; 3.9235119; -6.8487549
10.5270505; 4.7381747; -1.4225350; 2.9764568; 0.2508832; 3.5599575; -6.7705142
10.7256741; 4.7107343; -1.6201960; 3.0333165; 0.3257057; 3.1597040; -6.6102537
10.9242977; 4.6963975; -1.8190135; 3.1104157; 0.4629303; 2.7125310; -6.3506733
11.1229213; 4.7007413; -2.0158104; -3.0567896; 0.7569978; 2.1988719; -6.2476233
11.3215449; 4.7363986; -2.2113894; -2.8386082; 1.5968245; 1.5340100; -0.0052449
11.5201685; 4.8355188; -2.3806751; -2.2949013; 4.2533223; 1.5333308; -0.0052449
11.7187921; 5.0188806; -2.4329358; -1.4508617; 3.0617710; 1.5326512; 2.8025992
11.9174157; 5.2044093; -2.3674926; -1.0751099; 1.1278827; 1.8607376; 5.2922762
12.1160393; 5.3705490; -2.2578034; -0.9182836; 0.5468970; 2.3589587; 5.2875862
12.3146629; 5.5221940; -2.1306962; -0.8355219; 0.3188948; 2.7686034; 5.2829004
12.5132865; 5.6662498; -1.9930369; -0.7844287; 0.2053000; 3.1247052; 5.2782188
12.7119101; 5.8043633; -1.8495794; -0.7505732; 0.1400931; 3.4439135; 5.2735413
12.9105337; 5.9380846; -1.7025903; -0.7271300; 0.0987495; 3.7356980; 5.2688680
13.1091573; 6.0686796; -1.5531951; -0.7105148; 0.0703693; 4.0060557; 5.2641988
13.3077808; 6.1971234; -1.4020109; -0.6986526; 0.0503042; 4.2590692; 5.2595338
13.5064044; 6.3241354; -1.2494322; -0.6903064; 0.0340590; 4.4976667; 5.2548728
13.7050280; 6.4502606; -1.0957909; -0.6847482; 0.0238750; 4.7240331; 5.2502160
13.9036516; 6.5758201; -0.9413381; -0.6807203; 0.0123294; 4.9398505; 5.2455634
14.1022752; 6.7011672; -0.7864450; -0.6808244; -0.0124873; 5.1464461; 5.2409148
14.3008988; 6.8258727; -0.6325175; -0.6798582; 0.0216149; 5.3448898; 1.7313604
14.4995224; 6.9504537; -0.4779021; -0.6791745; -0.0436602; 5.4088469; -8.7800309
